Designator,Mid X,Mid Y,Rotation,Layer
D1,92.25,-98.5,270.0,bottom
D10,149.25,-84.25,270.0,bottom
D11,149.25,-65.25,270.0,bottom
D12,149.25,-46.25,270.0,bottom
D13,168.25,-87.4167,270.0,bottom
D14,168.25,-68.4167,270.0,bottom
D15,168.25,-49.4167,270.0,bottom
D16,187.25,-89.7917,270.0,bottom
D17,187.25,-70.7917,270.0,bottom
D18,187.25,-51.7917,270.0,bottom
D19,149.25,-109.25,270.0,bottom
D2,92.25,-79.5,270.0,bottom
D20,170.5023,-109.7953,285.0,bottom
D21,190.8893,-115.8224,300.0,bottom
D22,209.0217,-126.9208,315.0,bottom
D23,107.75,-98.5,270.0,top
D24,107.75,-79.5,270.0,top
D25,107.75,-60.5,270.0,top
D26,126.75,-98.5,270.0,top
D27,126.75,-79.5,270.0,top
D28,126.75,-60.5,270.0,top
D29,145.75,-89.0,270.0,top
D3,92.25,-60.5,270.0,bottom
D30,145.75,-70.0,270.0,top
D31,145.75,-51.0,270.0,top
D32,164.75,-84.25,270.0,top
D33,164.75,-65.25,270.0,top
D34,164.75,-46.25,270.0,top
D35,183.75,-87.4167,270.0,top
D36,183.75,-68.4167,270.0,top
D37,183.75,-49.4167,270.0,top
D38,202.75,-89.7917,270.0,top
D39,202.75,-70.7917,270.0,top
D4,111.25,-98.5,270.0,bottom
D40,202.75,-51.7917,270.0,top
D41,164.75,-109.25,270.0,top
D42,185.4742,-113.807,255.0,top
D43,204.3127,-123.5724,240.0,top
D44,219.9819,-137.881,225.0,top
D5,111.25,-79.5,270.0,bottom
D6,111.25,-60.5,270.0,bottom
D7,130.25,-89.0,270.0,bottom
D8,130.25,-70.0,270.0,bottom
D9,130.25,-51.0,270.0,bottom
JST1,212.8455,-91.4167,90.0,top
MH1,207.762,-94.1427,0.0,top
MH2,222.194,-102.6617,0.0,top
MH3,109.5,-71.5,0.0,top
MH4,109.5,-90.5,0.0,top
MH5,185.468,-61.6527,0.0,top
MH6,143.157,-103.615,0.0,top
MH7,214.3773,-112.6401,330.0,top
PWR1,223.0,-92.6667,0.0,top
RST1,214.704,-48.8317,0.0,top
